,Titles,Total sales in million
310,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,0.08
311,12-Sai. Koisuru Diary,0.08
312,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,0.08
313,Lost Heroes 2,0.08
314,Mario vs. Donkey Kong: Tipping Stars,0.08
315,Hero Bank,0.08
316,Disney's Planes,0.08
317,Nicola Kanshuu: Model Oshare * Audition Platinum,0.08
318,Culdcept Revolt,0.07
319,Touch Detective: Nameko Shigeru,0.07
320,Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,0.07
321,Dream Trigger 3D,0.07
322,Model * Oshare Audition: Dream Girl,0.07
323,J Legend Retsuden,0.07
324,Haikyuu!! Tsunage! Itadaki no Keshiki!!,0.07
325,Petz Fantasy 3D,0.07
326,E.X. Troopers,0.07
327,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,0.07
328,12-Sai. Honto no Kimochi,0.07
329,Magi: The Labyrinth of Beginning,0.07
330,Doraemon: Nobita no Uchuu Eiyuuki,0.07
331,Attack on Titan 2: Future Coordinates,0.07
332,Transformer: Rise of the Dark Spark,0.07
333,Cut the Rope: Triple Treat,0.07
334,Pro Yakyuu Spirits 2011,0.07
335,Cooking Mama: Sweet Shop,0.07
336,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,0.07
337,Mobile Suit Gundam: Try Age SP,0.07
338,"Horrid Henry: The Good, The Bad and The Bugly",0.07
339,PriPara Mezameyo! Megami no Dress Design,0.07
340,Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo!,0.07
341,Penguins of Madagascar,0.07
342,Chou Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,0.07
343,Cardfight!! Vanguard: Lock On Victory!!,0.07
344,Phoenix Wright: Ace Attorney Trilogy,0.07
345,RPG Maker: Fes,0.07
346,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land,0.06
347,Moshi Monsters: Katsuma Unleashed,0.06
348,Game Center CX: 3-Choume no Arino,0.06
349,The Amazing Spider-Man 2 (2014),0.06
350,Dynasty Warriors Vs,0.06
351,A-Train 3D: City Simulator,0.06
352,Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,0.06
353,Lord of Magna: Maiden Heaven,0.06
354,Nicola Kanshuu: Model * Oshare Audition 2,0.06
355,Nicktoons MLB 3D,0.06
356,Cartoon Network: Battle Crashers,0.06
357,LEGO Friends,0.06
358,SpongeBob SquarePants: Plankton's Robotic Revenge,0.06
359,New Prince of Tennis: Go to the Top,0.06
360,Magi: Aratanaru Sekai,0.06
361,Smile PreCure! Let's Go! Marchen World,0.06
362,Toriko: Gourmet Battle!,0.06
363,Metal Max 4: Gekkou no Diva,0.06
364,Cardfight!! Vanguard G: Stride to Victory!!,0.06
365,Monster High: New Ghoul in School,0.06
366,Etrian Mystery Dungeon 2,0.06
367,Girls RPG: Cinderellife,0.06
368,All Kamen Rider: Rider Revolution,0.06
369,Yuugen Gaisha Brave Company,0.06
370,Ken to Mahou to Gakuen Mono. 3D,0.06
371,Pro Yakyuu Famista 2011,0.06
372,Goosebumps: The Game,0.06
373,Doraemon: Shin Nobita no Nihon Tanjou,0.05
374,Haikyu!! Cross Team Match!,0.05
375,Zyuden Sentai Kyoryuger: Game on Gaburincho,0.05
376,Minna no Ennichi,0.05
377,Sega 3D Classics Collection,0.05
378,Rodea the Sky Soldier,0.05
379,Hero Bank 2,0.05
380,My Hero Academia: Battle for All,0.05
381,Mahjong 3D: Warriors of the Emperor,0.05
382,Guild 01,0.05
383,Corpse Party: Blood Covered - Repeated Fear,0.05
384,Chousoku Henkei Gyrozetter: Albatross no Tsubasa,0.05
385,G1 Grand Prix,0.05
386,Yowamushi Pedal Asu e no High Cadence,0.05
387,Gaist Crusher,0.05
388,Detective Conan: Marionette Symphony,0.05
389,Medabots 9: Metabee Ver. / Rokusho Ver.,0.05
390,Nobunaga's Ambition II,0.05
391,Kung Fu Panda: Showdown of Legendary Legends,0.05
392,Centipede: Infestation,0.05
393,SpongeBob: HeroPants,0.05
394,Jake Hunter Detective Story: Ghost of the Dusk,0.05
395,Nazo Waku Yakata: Oto no Ma ni Ma ni,0.05
396,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,0.04
397,Beyblade Burst: God,0.04
398,Nobunaga's Ambition (2013),0.04
399,Gem Smashers,0.04
400,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,0.04
401,Riding Stables: The Whitakers present Milton and Friends,0.04
402,Langrisser: Re:Incarnation Tensei,0.04
403,Idol Time PriPara: Yume All-Star Live!,0.04
404,DoraMoji: Nobita no Kanji Daisakusen,0.04
405,Horses 3D,0.04
406,Hana to Ikimono Rittai Zukan,0.04
407,Doki Doki! Pretty Cure Narikiri Life!,0.04
408,Gravity Falls: Legend of the Gnome Gemulets,0.04
409,One Piece: Great Pirate Colosseum,0.04
410,Bella Sara 2 - The Magic of Drasilmare,0.04
411,Cube Creator DX,0.04
412,UnchainBlades ReXX,0.04
413,Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,0.04
414,Time Travelers,0.04
415,Thomas and Friends: Steaming around Sodor,0.04
416,Dream Girl Premier,0.04
417,The Croods: Prehistoric Party!,0.04
418,Phoenix Wright: Ace Attorney Trilogy,0.04
419,Famicom Remix Best Choice,0.04
420,Sushi Striker: The Way of Sushido,0.04
421,Romance of the Three Kingdoms II,0.04
422,Kawaii Pet to Kurasou! Wan Nyan & Mini Mini Animal,0.04
423,Aikatsu Stars! My Special Appeal,0.04
424,Gudetama: Hanjuku de Tanomuwa,0.04
425,Medarot 9: Kabuto Ver. / Kuwagata Ver.,0.04
426,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,0.04
427,Attack on Titan: Escape from Certain Death,0.04
428,Doraemon the Movie: Nobita no Nankyoku Kachikochi Daibouken,0.04
429,Detective Conan: Phantom Rhapsody,0.04
430,Paddington: Adventures in London,0.04
431,FabStyle,0.03
432,Inazuma Eleven 3: Team Ogre Attacks!,0.03
433,Deer Drive: Legends,0.03
434,Angler's Club: Ultimate Bass Fishing 3D,0.03
435,Metal Gear Solid: Snake Eater 3D,0.03
436,Shifting World,0.03
437,Lego City Undercover: The Chase Begins,0.03
438,Romance of the Three Kingdoms V,0.03
439,Sayonara Umihara Kawase,0.03
440,Barbie and Her Sisters Puppy Rescue,0.03
441,Future Card Buddyfight Mezase! Buddy Champion!,0.03
442,Tamagotchi no Doki Doki Dream Omisecchi,0.03
443,Toushin Toshi,0.03
444,Beyond the Labyrinth,0.03
445,Cooking Mama 5,0.03
446,Toriko: Ultimate Survival,0.03
447,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,0.03
448,Disney Epic Mickey: The Power of Illusion Read the review,0.03
449,Power Rangers Super Megaforce,0.03
450,Zero Escape: Virtue's Last Reward,0.03
451,HappinessCharge PreCure! Kawarun Collection,0.03
452,100% Pascal Sensei: Kanpeki Paint Bombers,0.03
453,Puyo Puyo Chronicle,0.03
454,Young Justice: Legacy,0.03
455,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,0.03
456,Azada,0.03
457,Teddy Together,0.03
458,Medabots Classics: Metabee Ver. / Rokusho Ver.,0.03
459,Azure Striker Gunvolt: Striker Pack,0.03
460,The Peanuts Movie: Snoopy's Grand Adventure,0.03
461,Pro Evolution Soccer 2012,0.03
462,Shin Megami Tensei: Devil Survivor Overclocked Read the review,0.03
463,Nekketsu Kouha Kunio-Kun SP Kyousoukyoku,0.03
464,River City Ransom SP,0.03
465,Niko Puchi Girls Runway,0.03
466,The Legend of Korra A New Era Begins,0.03
467,Doraemon: Nobita no Takarajima,0.03
468,Akogare Girls Collection: Wan Nyan Doubutsu Byouin - Suteki na Juui-San ni Narou!,0.03
469,Osomatsu-San: Matsu Matsuri!,0.02
470,Manga-ka Debut Monogatari: Suteki na Manga o Egakou,0.02
471,Sousaku Alice to Oujisama!,0.02
472,Heavy Fire: The Chosen Few 3D,0.02
473,UnchainBlades EXXiV,0.02
474,Jake Hunter: Round of Revenge,0.02
475,Saiki Kusuo no Psi-nan: Shijou Psi-dai no Psi-nan!?,0.02
476,Cats Together,0.02
477,Tenkai Knights: Brave Battle,0.02
478,Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,0.02
479,Downtown Nekketsu Jidaigek,0.02
480,Digimon Universe: Appli Monsters,0.02
481,Kobito Game Taizen,0.02
482,Kunio-kun Nekketsu: Complete Famicom Edition,0.02
483,4 Elements,0.02
484,Poyopoyo Observation Diary,0.02
485,Gon: BakuBakuBakuBaku Adventure,0.02
486,Shin Atelier Rorona: Hajimari no Monogatari,0.02
487,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana - Kibou to Uragiri no Gakuen Seikatsu,0.02
488,Ben 10 Omniverse 2,0.02
489,BoxBoy! Hakobume Box,0.02
490,Turbo: Super Stunt Squad,0.02
491,Monster High 13 Wishes,0.02
492,Runbow,0.02
493,Kamiwaza Wanda: Kira Kira Ichibangai Kikiippatsu!,0.02
494,Gaist Crusher God,0.02
495,The Great Ace Attorney 1 & 2 Special Edition,0.02
496,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,0.02
497,PachiPara 3D,0.02
498,Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,0.02
499,Adventure Time: The Secret of the Nameless,0.02
500,Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,0.01
501,50 Classic Games,0.01
502,Kiniro no Corda 3,0.01
503,Order Up!!,0.01
504,Tamagotchi no Puchi Puchi Omisechi: Ninki no Omise Atsume Maseta,0.01
505,A-Train 3D: City Simulator Neo,0.01
506,Stardust Amazoness,0.01
507,Fate/kaleid liner Prisma Illya,0.01
508,Touch Detective 3: Does Funghi Dream of Bananas?,0.01
509,Apollo Justice: Ace Attorney,0.01
510,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,0.01
511,Winx Club: Saving Alfea,0.01
512,Cake-ya San Monogatari: Ooishii Sweets o Tsukurou!,0.01
513,Teenage Mutant Ninja Turtles (3DS),0.01
514,Soni Pro,0.01
515,Horse Life 4,0.01
516,Outdoors Unleashed: Alaska 3D,0.01
517,Gardening Mama 2: Forest Friends,0.01
518,Exstetra,0.01
519,Legends of Oz: Dorothy's Return,0.01
520,Balloon Pop 2,0.01
521,Nintendogs + Cats Golden Retriever and New Friends,0.01
522,Mushibugyo,0.01
523,Outdoors Unleashed: Africa 3D,0.01
524,12-Sai. Torokeru Puzzle Futari no Harmony,0.01
525,LEGO Ninjago Nindroids,0.01
526,Megami Meguri,0.01
527,Marvel Disk Wars: Avengers - Ultimate Heroes,0.01
528,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,0.01
529,Makai Ouji: Devils and Realist - Dairiou no Hihou,0.01
530,Maple Story: Unmei no Shoujo,0.01
531,Kouekizaidan Houjin Nihon Kanji Nouryoku Kentei Kyoukai: Kanken Training 2,0.01
532,Majin Bone: The Majin of Space and Time,0.01
533,Secret Mysteries in London,0.01
534,Chibi * Devi!,0.01
535,Earthpedia,0.01
536,Hakuouki 3D,0.01
537,Tetris Ultimate,0.01
538,Miracle Tunes! Game de Tune Up! Tabun!,0.01
539,Professional Fisherman's Tour: Big Bass Open,0.01
540,Kokuga,0.01
541,Touch Detective Funghi Rhythm,0.01
542,Kouekizaidan Houjin Nihon Kanji Nouryoku Kentei Kyoukai: Kanken Training,0.01
543,Sega 3D Classics Collection,0.01
544,Regular Show: Mordecai & Rigby in 8-Bit Land,0.01
545,Donkey Kong,0.01
546,Island Days,0.0
547,Hamatora: Look at Smoking World,0.0
548,Shin Megami Tensei IV Double Hero Pack,0.0
549,Dillon's Dead-Heat Breakers,0.0
550,Crayon Shin-Chan Gekiatsu! Oden Wa ~ Rudo Dai Konran!!,0.0
551,Pac-Man and the Ghostly Adventures,0.0
552,Kobayashi ga Kawai Sugite Tsurai!! Game Demo Kyun Moe Max ga Tomara Nai,0.0
553,DreamWorks Madagascar 3: The Video Game,0.0
554,Hello Kitty Picnic with Sanrio Friends,0.0
555,Sonic & All-Stars Racing Transformed,0.0
556,Funfair Party Games,0.0
557,Go! Princess PreCure Sugar Oukoku to 6-nin no Princess!,0.0
558,Jewel Quest The Sapphire Dragon,0.0
559,Farming Simulator 14,0.0
560,Puzzle & Dragons: Super Mario Bros. Edition,0.0
561,Phineas and Ferb: Quest for Cool Stuff,0.0
562,Disney Violetta: Rhythm & Music,0.0
563,Arcade 3D,0.0
564,The Sims 3: Pets,0.0
565,Cooking Mama,5.66
566,Mario & Sonic at the Olympic Games,5.1
