,Titles,Total sales in million
3017,Mega Man Battle Network 6: Cybeast Falzar / Gregar,0.76
3018,That's So Raven,0.76
3019,Yu-Gi-Oh! Dungeon Dice Monsters,0.74
3020,The Lord of the Rings: The Two Towers,0.74
3021,WarioWare: Twisted!,0.74
3022,Classic NES Series: Donkey Kong,0.73
3023,Beyblade VForce: Ultimate Blader Jam,0.73
3024,Star Wars Episode III: Revenge of the Sith,0.72
3025,Super Monkey Ball Jr.,0.72
3026,Scooby-Doo 2: Monsters Unleashed,0.71
3027,F-14 Tomcat,0.7
3028,Advance Wars,0.7
3029,Classic NES Series: Zelda II: The Adventure of Link,0.7
3030,Disney's Chicken Little,0.7
3031,Mario Pinball Land,0.69
3032,Shark Tale,0.68
3033,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.67
3034,Dragon Quest Monsters: Caravan Heart,0.66
3035,Strawberry Shortcake: Summertime Adventure,0.66
3036,Shrek: Hassle at the Castle,0.66
3037,Disney's Kim Possible 2: Drakken's Demise,0.66
3038,Yoshi Topsy-Turvy,0.65
3039,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,0.65
3040,Advance Wars 2: Black Hole Rising,0.65
3041,Crash Bandicoot Purple: Ripto's Rampage,0.64
3042,Nicktoons Collection: Game Boy Advance Video Volume 1,0.64
3043,SpongeBob SquarePants: Game Boy Advance Video Volume 1,0.64
3044,Konami Collector's Series: Arcade Advanced,0.64
3045,Dogz,0.63
3046,The Urbz: Sims in the City,0.62
3047,2 Games in 1: Sonic Battle & ChuChu Rocket!,0.61
3048,Dora the Explorer: Super Spies,0.61
3049,Texas Hold 'Em Poker,0.61
3050,Final Fantasy IV Advance,0.61
3051,Madden NFL 2003,0.61
3052,Harry Potter and the Goblet of Fire,0.61
3053,Dragon Ball Z: Buu's Fury,0.61
3054,Spider-Man: Mysterio's Menace,0.61
3055,Game & Watch Gallery 4,0.61
3056,Tony Hawk's Underground,0.6
3057,Monster Trucks,0.6
3058,Harvest Moon: Friends of Mineral Town,0.59
3059,Shrek 2: Beg for Mercy,0.58
3060,Tony Hawk's Pro Skater 4,0.57
3061,Spyro Orange: The Cortex Conspiracy,0.57
3062,The Incredible Hulk,0.56
3063,Ms. Pac-Man Maze Madness,0.56
3064,The Lord of the Rings: The Return of the King,0.56
3065,Classic NES Series: Dr. Mario,0.56
3066,Yu-Gi-Oh! World Championship Tournament 2004,0.56
3067,Backyard NFL Football,0.56
3068,Barbie Groovy Games,0.56
3069,Yu-Gi-Oh! Reshef of Destruction,0.56
3070,Mega Man Zero,0.55
3071,SpongeBob SquarePants: SuperSponge,0.55
3072,Tak and the Power of Juju,0.55
3073,The Fairly Odd Parents: Breakin' Da Rules,0.54
3074,Mega Man Battle Network 2,0.54
3075,Bratz: Rock Angelz,0.54
3076,SpongeBob SquarePants: Game Boy Advance Video Volume 2,0.53
3077,Mario Tennis: Power Tour,0.52
3078,That's So Raven 2: Supernatural Style,0.52
3079,Tony Hawk's Pro Skater 3,0.52
3080,Harry Potter and the Prisoner of Azkaban,0.52
3081,"SpongeBob SquarePants: Lights, Camera, Pants!",0.51
3082,Disney's Kim Possible: Revenge of Monkey Fist,0.51
3083,Dragon Ball Z: Supersonic Warriors,0.51
3084,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,0.5
3085,Tactics Ogre: The Knight of Lodis,0.5
3086,Tony Hawk's Underground 2,0.49
3087,Power Rangers: Dino Thunder,0.49
3088,Madagascar: Operation Penguin,0.48
3089,Need for Speed: Porsche Unleashed,0.48
3090,Midnight Club: Street Racing,0.48
3091,Densetsu no Stafi,0.47
3092,Pirates of the Caribbean: Dead Man's Chest,0.47
3093,Kong: The 8th Wonder of the World,0.47
3094,Iridion 3D,0.46
3095,Classic NES Series: Pac-Man,0.46
3096,Dragon Ball Z: Collectible Card Game,0.46
3097,Disney's Kim Possible 3: Team Possible,0.46
3098,Stuart Little 2,0.46
3099,Tak 2: The Staff of Dreams,0.46
3100,Scooby-Doo,0.46
3101,Rugrats: Castle Capers,0.46
3102,Crash Nitro Kart,0.46
3103,Mother 1+2,0.46
3104,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,0.45
3105,Yu-Gi-Oh! Destiny Board Traveler,0.45
3106,Pokémon Pinball: Ruby & Sapphire (JP weekly sales),0.45
3107,Tekken Advance,0.45
3108,Hot Wheels: Stunt Track Challenge,0.45
3109,Mario Golf: Advance Tour,0.45
3110,Densetsu no Stafi 2,0.44
3111,Scooby-Doo! Mystery Mayhem,0.44
3112,Battlebots: Design & Destroy,0.44
3113,Power Rangers: S.P.D.,0.44
3114,Classic NES Series: Metroid,0.43
3115,Need for Speed Underground 2,0.43
3116,Nicktoons Unite!,0.43
3117,The Powerpuff Girls: Him and Seek,0.43
3118,Mega Man Zero 2,0.43
3119,The Fairly Odd Parents: Game Boy Advance Video Volume 1,0.43
3120,Backyard Baseball,0.43
3121,Mega Man Battle Network,0.42
3122,Famicom Mini: Super Mario Bros. 2,0.42
3123,Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,0.42
3124,Star Wars Trilogy: Apprentice of the Force,0.42
3125,Lemony Snicket's A Series of Unfortunate Events,0.42
3126,The Fairly Odd Parents: Game Boy Advance Video Volume 2,0.42
3127,Jimmy Neutron: Boy Genius,0.42
3128,Dexter's Laboratory Deesaster Strikes,0.41
3129,Scooby-Doo and the Cyber Chase,0.41
3130,Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),0.41
3131,The Incredibles: Rise of the Underminer,0.4
3132,Rocket Power: Dream Scheme,0.4
3133,Mother 3,0.4
3134,Nicktoons: Freeze Frame Frenzy,0.4
3135,Disney's Brother Bear,0.39
3136,Fire Emblem: Fuuin no Tsurugi,0.39
3137,Madden NFL 2005,0.39
3138,The Sims 2,0.39
3139,Harry Potter: Quidditch World Cup,0.39
3140,The Cat in the Hat,0.38
3141,Ice Age,0.38
3142,Disney's Lilo & Stitch 2: Hamsterveil Havoc,0.38
3143,Barbie Horse Adventures: Blue Ribbon Race,0.37
3144,Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,0.37
3145,Hamtaro: Ham-Ham Heartbreak,0.36
3146,Cubix Robots for Everyone: Clash 'n' Bash,0.36
3147,Shaun Palmer's Pro Snowboarder,0.36
3148,Hamster Club 3,0.36
3149,Super Robot Taisen A,0.36
3150,Backyard Baseball 2006,0.35
3151,Disney's Tarzan: Return to the Jungle,0.35
3152,Star Wars: Flight of the Falcon,0.35
3153,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,0.35
3154,Risk / Battleship / Clue,0.34
3155,The Wild Thornberrys Movie,0.34
3156,Classic NES Series: Ice Climber,0.34
3157,Driver 2 Advance,0.34
3158,The Fairly Odd Parents: Shadow Showdown,0.34
3159,Herbie: Fully Loaded,0.34
3160,Banjo-Kazooie: Grunty's Revenge,0.33
3161,Shrek SuperSlam,0.33
3162,Classic NES Series: Castlevania,0.33
3163,GT Advance Championship Racing,0.33
3164,Spy Kids 3-D: Game Over,0.33
3165,Power Rangers: Ninja Storm,0.33
3166,Dr. Mario / Puzzle League,0.33
3167,Teenage Mutant Ninja Turtles 2: Battle Nexus,0.32
3168,Fortress,0.32
3169,Cartoon Network Collection: Game Boy Advance Video Platinum Edition,0.32
3170,SpongeBob SquarePants: Double Pack,0.32
3171,"Ed, Edd n Eddy: Jawbreakers!",0.32
3172,Sega Smash Pack,0.32
3173,Madden NFL 2002,0.32
3174,Madden NFL 2004,0.31
3175,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,0.31
3176,Mega Man Battle Network 2,0.31
3177,KuruKuru Kururin,0.31
3178,Ultimate Spider-Man,0.3
3179,Shrek Swamp Kart Speedway,0.3
3180,Spyro: Attack of the Rhynocs,0.3
3181,Lizzie McGuire 3: Homecoming Havoc,0.3
3182,Charlie and the Chocolate Factory,0.3
3183,Rhythm Tengoku,0.3
3184,Crazy Taxi: Catch a Ride,0.3
3185,Yu Yu Hakusho Ghost Files: Spirit Detective,0.3
3186,Power Pro Kun Pocket 6,0.3
3187,Finding Nemo: The Continuing Adventures,0.3
3188,Spirit: Stallion of the Cimarron,0.3
3189,Need for Speed Underground,0.29
3190,Power Pro Kun Pocket 4,0.29
3191,Hamster Club 4: Shigessa Daidassou,0.29
3192,Duel Masters: Sempai Legends,0.29
3193,Earthworm Jim,0.29
3194,Disney's Extreme Skate Adventure,0.28
3195,Dragon Ball GT: Transformation,0.28
3196,Yu-Gi-Oh! Double Pack,0.28
3197,X-Men: Reign of Apocalypse,0.28
3198,Fantastic 4: Flame On,0.28
3199,F/A-18F Super Hornet,0.28
3200,Final Fantasy VI Advance,0.28
3201,Godzilla: Domination!,0.28
3202,Rocket Power: Beach Bandits,0.28
3203,Pitfall: The Mayan Adventure,0.28
3204,Disney's Treasure Planet,0.28
3205,Corvette,0.28
3206,Power Pro Kun Pocket 3,0.28
3207,Castlevania: Aria of Sorrow,0.28
3208,Motocross Maniacs Advance,0.27
3209,M&M's Blast!,0.27
3210,NickToons Racing,0.27
3211,Over the Hedge,0.27
3212,WWE Road to WrestleMania X8,0.27
3213,Yu-Gi-Oh! The Sacred Cards (JP weekly sales),0.27
3214,Mat Hoffman's Pro BMX,0.27
3215,Magical Vacation,0.27
3216,Connect Four / Perfection / Trouble,0.27
3217,Operation Armored Liberty,0.27
3218,Sonic X: Game Boy Advance Video Volume 1,0.27
3219,Dungeons & Dragons: Eye of the Beholder,0.26
3220,Rugrats: I Gotta Go Party,0.26
3221,The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,0.26
3222,Hey Arnold! The Movie,0.26
3223,Final Fantasy V Advance,0.26
3224,Need for Speed: Most Wanted,0.26
3225,Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006,0.26
3226,Power Pro Kun Pocket 5,0.26
3227,Konjiki no Gashbell!! Makai no Bookmark,0.26
3228,Dora the Explorer: The Search for Pirate Pig's Treasure,0.26
3229,Classic NES Series: Bomberman,0.26
3230,Frogger's Journey: The Forgotten Relic,0.26
3231,Dora the Explorer: Game Boy Advance Video Volume 1,0.26
3232,Bionicle: Matoran Adventures,0.26
3233,ATV: Quad Power Racing,0.26
3234,Super Robot Taisen R,0.26
3235,Castlevania: Harmony of Dissonance,0.26
3236,Super Street Fighter II: Turbo Revival,0.25
3237,Ice Age 2: The Meltdown,0.25
3238,Spy Kids Challenger,0.25
3239,Cartoon Network Collection: Game Boy Advance Video Volume 1,0.25
3240,Bomberman Tournament,0.25
3241,Midway's Greatest Arcade Hits,0.25
3242,Golden Nugget Casino,0.25
3243,Medabots AX: Metabee / Rokusho Ver.,0.25
3244,Tennis no Oji-Sama: Genius Boys Academy,0.25
3245,Butt Ugly Martians: B.K.M. Battles,0.25
3246,Sorry! / Aggravation / Scrabble Junior,0.25
3247,Classic NES Series: Excitebike,0.25
3248,Classic NES Series: Xevious,0.25
3249,Catz,0.24
3250,DK: King of Swing,0.24
3251,All Grown Up!: Game Boy Advance Video Volume 1,0.24
3252,Ms. Pac-Man: Maze Madness / Pac-Man World,0.24
3253,Tony Hawk's American Sk8land,0.24
3254,Densetsu no Stafi 3,0.24
3255,Grand Theft Auto,0.24
3256,Dora the Explorer: Super Star Adventures,0.24
3257,Classic NES Series: The Legend of Zelda,0.24
3258,Polly Pocket: Super Splash Island,0.24
3259,Super Robot Taisen D,0.23
3260,Yu-Gi-Oh! GX: Duel Academy,0.23
3261,Madden NFL 06,0.23
3262,Mega Man & Bass,0.23
3263,Barbie as The Island Princess,0.23
3264,Mega Man Battle Network 5: Team Colonel / Protoman,0.23
3265,EX Monopoly,0.22
3266,Breath of Fire,0.22
3267,Hamtaro: Ham-Ham Games,0.22
3268,Danny Phantom: The Ultimate Enemy,0.22
3269,Mega Man Zero 3,0.22
3270,Nicktoons Collection: Game Boy Advance Video Volume 2,0.22
3271,Duel Masters: Kaijudo Showdown,0.22
3272,The Lord of the Rings: The Third Age,0.22
3273,Disney's Magical Quest Starring Mickey and Minnie,0.22
3274,Naruto: Ninja Council,0.22
3275,Samurai Jack: The Amulet of Time,0.22
3276,American Idol,0.22
3277,Britney's Dance Beat,0.22
3278,Robotech: The Macross Saga,0.21
3279,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,0.21
3280,Shrek: Reekin' Havoc,0.21
3281,SpongeBob SquarePants: Game Boy Advance Video Volume 3,0.21
3282,Final Fight One,0.21
3283,Power Rangers: Wild Force,0.21
3284,Mary-Kate and Ashley: Girls Night Out,0.2
3285,Beyblade G-Revolution,0.2
3286,CandyLand / Chutes & Ladders / Memory,0.2
3287,Rocket Power: Zero Gravity Zone,0.2
3288,Harvest Moon: More Friends of Mineral Town,0.2
3289,X2: Wolverine's Revenge,0.2
3290,Super Dodge Ball Advance,0.2
3291,Namco Museum: 50th Anniversary,0.2
3292,Classic NES Series: Ice Climber,0.2
3293,Backyard Hockey,0.2
3294,Ratatouille,0.2
3295,The Fairly Odd Parents: Enter the Cleft,0.2
3296,Power Rangers: Time Force,0.2
3297,Dexter's Lab Chess Challenge,0.2
3298,The Hobbit,0.19
3299,Breath of Fire II,0.19
3300,Dinotopia: The Timestone Pirates,0.19
3301,Dave Mirra Freestyle BMX 2,0.19
3302,The Polar Express,0.19
3303,Frogger's Adventures 2: The Lost Wand,0.19
3304,SSX Tricky,0.19
3305,Lunar Legend,0.19
3306,Crash & Spyro Superpack,0.19
3307,The Adventures of Jimmy Neutron Boy Genius: Game Boy Advance Video Volume 1,0.19
3308,The Scorpion King: Sword of Osiris,0.19
3309,Jackie Chan Adventures: Legend of the Dark Hand,0.19
3310,Sports Illustrated for Kids: Football,0.18
3311,Super Robot Taisen J,0.18
3312,Jurassic Park III: Island Attack,0.18
3313,Atari Anniversary Advance,0.18
3314,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,0.18
3315,Batman: Vengeance,0.18
3316,Tiger Woods PGA Tour 2004,0.18
3317,The Game of Life / Yahtzee / Payday,0.18
3318,All Grown Up! Express Yourself,0.18
3319,Looney Tunes: Back in Action,0.18
3320,Virtua Tennis,0.18
3321,ESPN X Games Skateboarding,0.18
3322,Backyard Basketball,0.18
3323,Scooby-Doo! Unmasked,0.18
3324,Teen Titans,0.17
3325,Sports Illustrated for Kids: Baseball,0.17
3326,World Championship Poker,0.17
3327,ESPN Final Round Golf 2002,0.17
3328,Hello Kitty: Happy Party Pals,0.17
3329,Tak: The Great Juju Challenge,0.17
3330,Batman Begins,0.17
3331,Dragon Ball GT: Game Boy Advance Video Volume 1,0.17
3332,Codename: Kids Next Door: Game Boy Advance Video Volume 1,0.17
3333,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,0.17
3334,Disney's Home on the Range,0.17
3335,Gyakuten Saiban 3,0.17
3336,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,0.17
3337,James Bond 007: Everything or Nothing,0.17
3338,Matchbox Cross Town Heroes,0.17
3339,Wolfenstein 3D,0.17
3340,Mousetrap / Operation / Simon,0.17
3341,Classic NES Series: Donkey Kong,0.17
3342,Gyakuten Saiban 3,0.16
3343,Hot Wheels Velocity X,0.16
3344,Paws & Claws: Pet Resort,0.16
3345,Curious George,0.16
3346,Tom and Jerry: Infurnal Escape,0.16
3347,Let's Ride: Sunshine Stables,0.16
3348,NASCAR Heat 2002,0.16
3349,The Wild Thornberrys: Chimp Chase,0.16
3350,Konami Krazy Racers,0.16
3351,F-Zero: GP Legend,0.16
3352,Mr. Driller 2,0.16
3353,Power Rangers Double Pack,0.16
3354,MX 2002 Featuring Ricky Carmichael,0.16
3355,He-Man: Power of Grayskull,0.16
3356,Mat Hoffman's Pro BMX 2,0.16
3357,Digimon Battle Spirit 2,0.15
3358,Cartoon Network Collection: Game Boy Advance Video Special Edition,0.15
3359,The Fairly Odd Parents: Clash with the Anti-World,0.15
3360,Prince of Persia: The Sands of Time,0.15
3361,Pokémon: Johto Photo Finish: Game Boy Advance Video,0.15
3362,Spongebob Squarepants / Fairly Odd Parents Double Pack,0.15
3363,All-Star Baseball 2003,0.15
3364,Strawberry Shortcake: Game Boy Advance Video Volume 1,0.15
3365,Street Fighter Alpha 3,0.15
3366,Power Pro Kun Pocket 1+2,0.15
3367,Medal of Honor: Infiltrator,0.15
3368,Barbie Superpack: Secret Agent / Groovy Games,0.15
3369,Sonic Advance & Sonic Pinball Party Combo Pack,0.15
3370,Boktai: The Sun is in Your Hand,0.15
3371,Elf: The Movie,0.15
3372,Tennis no Oji-Sama: Aim at The Victory!,0.14
3373,Rayman 3,0.14
3374,Klonoa: Empire of Dreams,0.14
3375,Shrek 2 and Shark Tale 2-in-1 Pack,0.14
3376,Doom,0.14
3377,Shonen Jump's Shaman King: Master of Spirits,0.14
3378,Zapper: One Wicked Cricket!,0.14
3379,Gyakuten Saiban 2,0.14
3380,Jim Henson's the Muppets: On With the Show!,0.14
3381,Tim Burton's The Nightmare Before Christmas: The Pumpkin King,0.14
3382,Star Wars: Jedi Power Battles,0.14
3383,Shining Soul,0.14
3384,Fear Factor: Unleashed,0.14
3385,LEGO Island Xtreme Stunts,0.14
3386,Hot Wheels: World Race,0.14
3387,Tomb Raider: The Prophecy,0.14
3388,Gyakuten Saiban 2,0.14
3389,Disney's Cinderella: Magical Dreams,0.14
3390,James Bond 007: Nightfire,0.13
3391,Bratz,0.13
3392,Baseball Advance,0.13
3393,Paperboy / Rampage,0.13
3394,WWE Survivor Series,0.13
3395,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,0.13
3396,Fire ProWrestling,0.13
3397,Digimon Racing,0.13
3398,Iridion II,0.13
3399,Walt Disney Pictures Presents: The Wild,0.13
3400,Ty the Tasmanian Tiger 2: Bush Rescue,0.13
3401,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,0.13
3402,Derby Stallion Advance,0.13
3403,Snood,0.13
3404,Classic NES Series: Dr. Mario,0.13
3405,Kelly Slater's Pro Surfer,0.13
3406,Monster Truck Madness,0.12
3407,Disney's Atlantis: The Lost Empire,0.12
3408,Classic NES Series: Xevious,0.12
3409,Galidor: Defenders of the Outer Dimension,0.12
3410,NHL 2002,0.12
3411,SSX 3,0.12
3412,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,0.12
3413,Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,0.12
3414,Famicom Mini: TwinBee,0.12
3415,Ultimate Card Games,0.12
3416,The Bible Game,0.12
3417,"Ed, Edd n Eddy: The Mis-Edventures",0.12
3418,Turok: Evolution,0.12
3419,GT Advance 2: Rally Racing,0.11
3420,Classic NES Series: Bomberman,0.11
3421,Phantasy Star Collection,0.11
3422,LEGO Knights' Kingdom,0.11
3423,NBA Jam 2002,0.11
3424,Tom Clancy's Rainbow Six: Rogue Spear,0.11
3425,Mega Man Battle Chip Challenge,0.11
3426,Sabrina The Teenage Witch: Potion Commotion,0.11
3427,Yu Yu Hakusho: Tournament Tactics,0.11
3428,Disney's Peter Pan: Return to Never Land,0.11
3429,Contra Advance: The Alien Wars EX,0.11
3430,XXX,0.11
3431,Pac-Man World 2,0.11
3432,Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,0.11
3433,Lady Sia,0.11
3434,Dynasty Warriors Advance,0.11
3435,Mega Man Zero 4,0.11
3436,Disney Channel Collection Vol. 1,0.11
3437,Space Invaders,0.11
3438,SimCity 2000,0.11
3439,Banjo-Pilot,0.1
3440,Road Rash: Jailbreak,0.1
3441,Riviera: The Promised Land,0.1
3442,Top Gun: Combat Zones,0.1
3443,Monster Jam: Maximum Destruction,0.1
3444,Van Helsing,0.1
3445,L'Aigle de Guerre,0.1
3446,Disney's The Jungle Book,0.1
3447,Tom Clancy's Splinter Cell,0.1
3448,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,0.1
3449,Famicom Mini: Mappy,0.1
3450,Classic NES Series: Excitebike,0.1
3451,Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero,0.1
3452,Castlevania Double Pack,0.1
3453,Ballistic: Ecks vs. Sever,0.1
3454,Altered Beast: Guardian of the Realms,0.09
3455,Barbie and the Magic of Pegasus,0.09
3456,The Revenge of Shinobi,0.09
3457,Cabela's Big Game Hunter,0.09
3458,Bomberman Max 2: Blue Advance,0.09
3459,Top Gun: Firestorm Advance,0.09
3460,Astro Boy: Omega Factor,0.09
3461,2-in-1 Game Pack: Spider-Man & Spider-Man 2,0.09
3462,Super Puzzle Fighter II,0.09
3463,Bionicle,0.09
3464,LEGO Star Wars II: The Original Trilogy,0.09
3465,Top Gear Rally,0.09
3466,Famicom Mini: Makaimura,0.09
3467,ChuChu Rocket!,0.09
3468,Monster House,0.09
3469,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,0.08
3470,Famicom Mini: Mario Bros.,0.08
3471,Rescue Heroes: Billy Blazes,0.08
3472,RockMan EXE 4.5 Real Operation,0.08
3473,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,0.08
3474,Zoids: Legacy,0.08
3475,Onimusha Tactics,0.08
3476,Ultimate Brain Games,0.08
3477,Gundam Seed: Battle Assault,0.08
3478,Famicom Mini: Adventure Island,0.08
3479,Shining Force: Resurrection of the Dark Dragon,0.08
3480,Shining Soul II,0.08
3481,Metal Slug Advance,0.08
3482,Gradius Galaxies,0.08
3483,Board Game Classics,0.08
3484,FIFA Soccer 2005,0.08
3485,Pinobee: Wings of Adventure,0.08
3486,The King of Fighters EX2: Howling Blood,0.08
3487,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,0.08
3488,Famicom Mini: Star Soldier,0.08
3489,Cartoon Network Collection: Game Boy Advance Video Volume 2,0.08
3490,Boxing Fever,0.08
3491,Pocket Dogs,0.08
3492,LEGO Soccer Mania,0.08
3493,GT Advance 3: Pro Concept Racing,0.08
3494,Dragon Ball Z: The Legacy of Goku I & II,0.08
3495,Codename: Kids Next Door: Operation S.O.D.A.,0.08
3496,Medal of Honor: Underground,0.08
3497,Famicom Mini: Hikari Shinwa: Palutena no Kagami,0.07
3498,Super Ghouls 'n Ghosts,0.07
3499,Winx Club,0.07
3500,Bomberman Max 2: Red Advance,0.07
3501,Pong / Asteroids / Yars' Revenge,0.07
3502,Mucha Lucha! Mascaritas of the Lost Code,0.07
3503,Archer Maclean's 3D Pool,0.07
3504,Disney's Donald Duck Advance,0.07
3505,Pitfall: The Lost Expedition,0.07
3506,All-Star Baseball 2004,0.07
3507,Famicom Mini: Nazo no Murasame-Jou,0.07
3508,Disney Sports Skateboarding,0.07
3509,Classic NES Series: Metroid,0.07
3510,Caesars Palace Advance: Millennium Gold Edition,0.07
3511,Let's Ride! Dreamer,0.07
3512,Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,0.07
3513,River City Ransom EX,0.07
3514,Famicom Mini: Wrecking Crew,0.07
3515,Sudoku Fever,0.07
3516,Legends of Wrestling II,0.07
3517,FIFA Soccer 06,0.07
3518,everGirl,0.07
3519,Batman: Rise of Sin Tzu,0.07
3520,Disney's Party,0.07
3521,X-Men: The Official Game,0.07
3522,Centipede / Breakout / Warlords,0.07
3523,Gunstar Super Heroes,0.07
3524,Frogger Advance: The Great Quest,0.07
3525,Pocky & Rocky with Becky,0.07
3526,Hot Wheels: Burnin' Rubber,0.06
3527,Desert Strike Advance,0.06
3528,ESPN Winter X-Games: Snowboarding 2002,0.06
3529,Disney's Magical Quest 2 Starring Mickey and Minnie,0.06
3530,Kururin Paradise,0.06
3531,Rayman: Hoodlum's Revenge,0.06
3532,Famicom Mini: Balloon Fight,0.06
3533,The Pinball of the Dead,0.06
3534,Tom Clancy's Splinter Cell: Pandora Tomorrow,0.06
3535,Tron 2.0: Killer App,0.06
3536,Jurassic Park III: Park Builder,0.06
3537,LEGO Bionicle,0.06
3538,2 Games in 1: Sonic Pinball Party & Columns Crown,0.06
3539,Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,0.06
3540,Bubble Bobble: Old & New,0.06
3541,Salt Lake 2002,0.06
3542,Tokyo Xtreme Racer Advance,0.06
3543,Rapala Pro Fishing,0.06
3544,Guilty Gear X: Advance Edition,0.06
3545,Ford Racing 3,0.06
3546,Oddworld: Munch's Oddysee,0.06
3547,Hi Hi Puffy AmiYumi: Kaznapped,0.06
3548,Broken Sword: The Shadow of the Templars,0.06
3549,Backyard Skateboarding 2006,0.06
3550,Racing Gears Advance,0.06
3551,Zone of the Enders: The Fist of Mars,0.06
3552,Terminator 3: Rise of the Machines,0.06
3553,Scrabble Blast!,0.06
3554,MotoGP,0.06
3555,BattleBots: Beyond the BattleBox,0.06
3556,Mighty Beanz: Pocket Puzzles,0.06
3557,Cabela's Big Game Hunter 2005 Adventures,0.06
3558,Worms World Party,0.05
3559,Medabots: Metabee / Rokusho,0.05
3560,Rebelstar: Tactical Command,0.05
3561,Wing Commander: Prophecy,0.05
3562,Famicom Mini: Dig Dug,0.05
3563,FIFA Soccer 2003,0.05
3564,Lufia: The Ruins of Lore,0.05
3565,Drill Dozer,0.05
3566,Piglet's Big Game,0.05
3567,Monster! Bass Fishing,0.05
3568,Sigma Star Saga,0.05
3569,FIFA Soccer 2004,0.05
3570,Puyo Pop,0.05
3571,Jim Henson's Muppets in Spy Muppets: License to Croak,0.05
3572,Dr. Seuss: Green Eggs and Ham,0.05
3573,Turbo Turtle Adventure,0.05
3574,The Lost Vikings,0.05
3575,Ty the Tasmanian Tiger 3: Night of the Quinkan,0.05
3576,Around the World in 80 Days,0.05
3577,Pinball Tycoon,0.05
3578,Cartoon Network Block Party,0.05
3579,Super Bust-A-Move,0.05
3580,Mega Man Battle Chip Challenge,0.05
3581,ZooCube,0.05
3582,Reign of Fire,0.05
3583,Barnyard,0.05
3584,Rock 'N Roll Racing,0.05
3585,American Bass Challenge,0.05
3586,ESPN Great Outdoor Games Bass 2002,0.05
3587,Punch King,0.05
3588,V-Rally 3,0.05
3589,The Berenstain Bears and the Spooky Old Tree,0.05
3590,Double Dragon Advance,0.05
3591,Activision Anthology,0.05
3592,Summon Night Craft Sword Monogatari: Hajimari no Ishi,0.04
3593,Millipede / Super Breakout / Lunar Lander,0.04
3594,Boktai 2: Solar Boy Django,0.04
3595,Crushed Baseball,0.04
3596,Dark Arena,0.04
3597,Trollz: Hair Affair!,0.04
3598,Justice League: Chronicles,0.04
3599,Chicken Shoot,0.04
3600,Advance Guardian Heroes,0.04
3601,Star X,0.04
3602,Chessmaster,0.04
3603,No Rules: Get Phat,0.04
3604,The Invincible Iron Man,0.04
3605,Catwoman,0.04
3606,Superman: Countdown to Apokolips,0.04
3607,Mike Tyson Boxing,0.04
3608,Mission: Impossible - Operation Surma,0.04
3609,Famicom Mini: Clu Clu Land,0.04
3610,Stuntman,0.04
3611,Tiger Woods PGA Tour Golf,0.04
3612,Klonoa Heroes: Densetsu no Star Medal,0.04
3613,Denki Blocks!,0.04
3614,Dragon Ball: Advanced Adventure,0.04
3615,The Ripping Friends,0.04
3616,Super Army War,0.04
3617,Doom II,0.04
3618,Big Mutha Truckers,0.04
3619,The Sum of All Fears,0.04
3620,Minority Report: Everybody Runs,0.04
3621,Garfield: The Search for Pooky,0.04
3622,Gumby vs. the Astrobots,0.04
3623,Monster Force,0.04
3624,Stadium Games,0.04
3625,Hot Potato!,0.04
3626,The Ant Bully,0.04
3627,Sega Arcade Gallery,0.04
3628,Alienators: Evolution Continues,0.03
3629,Care Bears - Care Quest,0.03
3630,Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,0.03
3631,Zatch Bell! Electric Arena,0.03
3632,Sky Dancers,0.03
3633,Silent Scope,0.03
