,Names,Total_shipped,Total_sales
46,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,0.58m,
47,Final Fantasy: The 4 Heroes of Light Read the review,,0.58m
48,My Secret World by Imagine,,0.58m
49,Harvest Moon: The Tale of Two Towns,,0.57m
0,Mega Man Star Force 2: Zerker x Ninja / Saurian,,0.57m
1,Harvest Moon: Sunshine Islands,,0.57m
2,SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,,0.57m
3,Bratz 4 Real,,0.57m
4,Petz Wild Animals: Tigerz,,0.56m
5,Dogz,,0.56m
6,DS Bimoji Training,,0.56m
7,Catz,,0.55m
8,Jump Super Stars,,0.55m
9,Purr Pals,,0.55m
10,ZhuZhu Pets 2: Featuring The Wild Bunch,,0.55m
11,Donkey Kong Jungle Climber,,0.55m
12,Petz Catz Clan,,0.55m
13,Viva Pinata: Pocket Paradise,,0.55m
14,Barbie Horse Adventures: Riding Camp,,0.55m
15,CrossworDS,,0.55m
16,Hotel Dusk: Room 215,,0.54m
17,Phineas and Ferb: Across the 2nd Dimension,,0.54m
18,Let's Draw!,,0.54m
19,Petz Nursery,,0.54m
20,50 Classic Games,,0.54m
21,Rune Factory: A Fantasy Harvest Moon Read the review,,0.53m
22,G-Force,,0.53m
23,Hello Kitty: Big City Dreams,,0.53m
24,Phoenix Wright: Ace Attorney - Justice for All,,0.53m
25,Inazuma Eleven,,0.53m
26,Magician's Quest: Mysterious Times,,0.53m
27,How to Train Your Dragon,,0.53m
28,Jewel Master Egypt,,0.53m
29,WWE SmackDown vs. Raw 2010,,0.53m
30,Are You Smarter than a 5th Grader?,,0.53m
31,Star Fox Command,,0.53m
32,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,,0.52m
33,Fire Emblem: Shadow Dragon Read the review,0.52m,
34,Mystery Dungeon: Shiren the Wanderer,,0.52m
35,Frozen: Olaf's Quest,,0.52m
36,Guinness World Records: The Videogame,,0.52m
37,Rune Factory 2: A Fantasy Harvest Moon,,0.52m
38,Classic Word Games,,0.52m
39,Spectrobes: Beyond the Portals,,0.52m
40,Kenkou Ouen Recipe 1000: DS Kondate Zenshuu,,0.52m
41,SimAnimals,,0.52m
42,100 All-Time Favorites,,0.51m
43,Jam With the Band,,0.51m
44,Iron Man,,0.51m
45,Taiko no Tatsujin DS: Touch de Dokodon!,0.51m,
46,Monsters vs. Aliens,,0.51m
47,Petz: Hamsterz Life 2,,0.51m
48,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,,0.51m
49,Rooms: The Main Building,,0.50m
0,Paws & Claws: Dogs & Cats Best Friends,,0.50m
1,Picross DS,,0.50m
2,Picross 3D Read the review,,0.50m
3,Bakugan Battle Brawlers: Defenders of the Core,,0.50m
4,Spider-Man 2,,0.50m
5,Dragon Ball Z: Supersonic Warriors 2,,0.49m
6,The Price is Right,,0.49m
7,Star Wars Battlefront: Elite Squadron,,0.49m
8,SpongeBob SquarePants: Creature from the Krusty Krab,,0.49m
9,FIFA Soccer 09,,0.49m
10,Crash of the Titans,,0.48m
11,Scrabble 2007 Edition,,0.48m
12,Rayman Raving Rabbids: TV Party,,0.48m
13,Alice in Wonderland,,0.48m
14,Go Diego Go! Great Dinosaur Rescue,,0.48m
15,Children of Mana,,0.48m
16,Cars: Race-O-Rama,,0.47m
17,Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,,0.47m
18,Jake Power: Fireman,,0.47m
19,Hamsterz Life,,0.47m
20,Final Fantasy Crystal Chronicles: Echoes of Time Read the review,,0.47m
21,Spider-Man: Friend or Foe,,0.47m
22,Spider-Man 3,,0.47m
23,Imagine: Figure Skater (US sales),,0.46m
24,Nickelodeon Team Umizoomi,,0.46m
25,Crayola: Treasure Adventures,,0.46m
26,The Legend of Spyro: Dawn of the Dragon,,0.46m
27,Mega Man Star Force 3: Black Ace / Red Joker,,0.46m
28,Dora the Explorer: Dora Saves the Snow Princess,,0.46m
29,Harvest Moon DS (US sales),,0.45m
30,Bleach: The Blade of Fate,,0.45m
31,Band Hero,,0.45m
32,American Girl: Kit Mystery Challenge!,,0.45m
33,Despicable Me: The Game - Minion Mayhem,,0.45m
34,The New York Times Crosswords,,0.45m
35,Brain Challenge,,0.45m
36,My Fashion Studio,,0.45m
37,LEGO Rock Band,,0.45m
38,Bee Movie Game,,0.45m
39,Sid Meier's Civilization Revolution Read the review,,0.45m
40,Discovery Kids: Kitten Corner,,0.45m
41,Transformers: Dark of the Moon - Autobots/Decepticons,,0.44m
42,Transformers: Revenge of the Fallen -- Autobots,,0.44m
43,The Urbz: Sims in the City (all regions sales),,0.44m
44,Puppy Luv: Spa and Resort,,0.44m
45,Wheel of Fortune,,0.44m
46,Tongari Boushi to Mahou no Otana,,0.44m
47,Master of Illusion,,0.43m
48,My Spanish Coach,,0.43m
49,Barbie: Groom and Glam Pups,,0.43m
