,Names,Total_shipped,Total_sales
44,Castlevania III: Dracula's Curse,,
45,Chariot,,
46,Chasing Aurora Read the review,,
47,Child of Light,,
48,Chubbins,,
49,Citizens of Earth,,
0,Cloudberry Kingdom Read the review,,
1,Cocoto Magic Circus 2,,
2,Color Zen,,
3,Color Zen Kids,,
4,Contra III: The Alien Wars,,
5,Costume Quest 2,,
6,Cross Reverie,,
7,Cryamore,,
8,Cult County,,
9,Dino Adventure,,
10,Don't Starve: Giant Edition,,
11,Donkey Kong Jr. Math,,
12,Double Dragon II: The Revenge,,
13,Dr. Luigi,,
14,Dragon Quest X: Inishie no Ryuu no Denshou Online,,
15,Dungeons & Dragons: Shadow over Mystara,,
16,Dungeons & Dragons: Tower of Doom,,
17,Evofish,,
18,F-Zero: Maximum Velocity,,
19,F1 Race Stars,,
20,Falling Skies: The Game,,
21,Farming 2017 - The Simulation,,
22,Fast & Furious: Showdown,,
23,Final Fight,,
24,Final Fight 2,,
25,Final Fight 3,,
26,Fire Emblem: Shadow Dragon,,
27,forma.8,,
28,Frederic: Resurrection of Music,,
29,Funky Barn It's Farming!,,
30,Gaiabreaker,,
31,GameBoy Wars Advance 1+2,,
32,Giana Sisters: Twisted Dreams,,
33,Golden Sun,,
34,Gravity Badgers,,
35,Guacamelee!,,
36,Harvest Moon: Seeds of Memories,,
37,"Heart Forth, Alicia",,
38,Hex Heroes,,
39,Hot Wheels World's Best Driver,,
40,How to Survive,,
41,I've Got to Run!,,
42,Ice Cream Surfer,,
43,Ice Hockey,,
44,Insanity's Blade,,
45,Internal Invasion,,
46,IQ Test,,
47,Ittle Dew,,
48,Jett Tailfin,,
49,Kamen Rider: SummonRide,,
0,KickBeat,,
1,Kirby & the Amazing Mirror,,
2,Kirby Super Star,,
3,Kirby's Dream Course,,
4,Kirby's Dream Land 3,,
5,Klonoa: Empire of Dreams,,
6,Knytt Underground,,
7,Luv Me Buddies Wonderland,,
8,Mach Rider,,
9,Mario & Luigi: Superstar Saga,,
10,Mario Kart DS,,
11,Mario Kart: Super Circuit,,
12,Mario Tennis: Power Tour,,
13,Mario vs. Donkey Kong,,
14,Marvel Pinball,,
15,Master Reboot,,
16,Mega Man 5,,
17,Mega Man 6,,
18,Mega Man Battle Chip Challenge,,
19,Mega Man Battle Network,,
20,Mega Man X3,,
21,Metroid Fusion,,
22,Midtown Crazy Race,,
23,Mighty Switch Force! 2,,
24,Mighty Switch Force! Hyper Drive Edition,,
25,Monkey Pirates,,
26,Monochroma,,
27,Monster Hunter Frontier G,,
28,Mutant Mudds Read the review,,
29,My Arctic Farm,,
30,My Exotic Farm,,
31,My Farm,,
32,My First Songs,,
33,My Jurassic Farm,,
34,My Style Studio: Hair Salon,,
35,Mystery Case Files: Retun to Ravenhearst,,
36,Nano Assault Neo,,
37,Nero,,
38,NES Remix 2,,
39,Oddworld: Abe's Oddysee New N' Tasty!,,
40,Percy's Predicament,,
41,Pier Solar and the Great Architects,,
42,Plenty of Fishies,,
43,POKER DICE SOLITAIRE FUTURE,,
44,Project Giant Robot,,
45,Pure Chess,,
46,Pushmo World,,
47,Razor Global Domination Pro Tour,,
48,Red Goddess,,
49,Renegade,,
0,Rise of the Guardians: The Video Game,,
1,River City Ransom,,
2,Runbow,,
3,RUSH,,
4,Sadness,,
5,Scram Kitty and his Buddy on Rails,,
6,Shadow Puppeteer,,
7,Shantae and the Pirate's Curse,,
8,Shiftlings,,
9,Shin Megami Tensei,,
10,SHUT THE BOX,,
11,Slender: The Arrival,,
12,Soon Shine,,
13,Soul Saga,,
14,Space City,,
15,SPIKEY WALLS,,
16,Spin the Bottle: Bumpie's Party Read the review,,
17,Spot the Differences: Party!,,
18,Squids Odyssey,,
19,Stealth Inc. 2,,
20,SteamWorld Dig: A Fistful of Dirt,,
21,Stick It to the Man,,
22,Street Fighter Alpha 2,,
23,Super Mario Bros.,,
24,Super Mario Bros. 3,,
25,Super Mario Bros.: The Lost Levels,,
26,Super Mario World 2: Yoshi's Island,,
27,Super Toy Cars,,
28,Swords & Soldiers II Read the review,,
29,Swords & Soldiers,,
30,Tengami,,
31,The Binding of Isaac: Rebirth,,
32,The Cave Read the review,,
33,The Fall,,
34,The Girl and the Robot,,
35,The Legend of Zelda: The Minish Cap,,
36,The Letter,,
37,The Mysterious Cities of Gold: Secret Paths,,
38,The Rainbow Colored Deer Games,,
39,The Swapper,,
40,The Ugly Duckling Games by eBo,,
41,Toki Tori 2 Read the review,,
42,Tom Clancy's Rainbow Six Vegas 2 / Ghost Recon AW,,
43,Trine Enchanted Edition,,
44,Two Brothers,,
45,Ufouria: The Saga,,
46,Uncharted Waters: New Horizons,,
47,Unepic,,
48,Volleyball,,
49,Wario Land 4,,
0,"WarioWare, Inc.: Mega MicroGame$",,
1,Wii Karaoke U by JOYSOUND,,
2,WonderFlick,,
3,Wooden Sen'SeY,,
4,World to the West,,
5,XType Plus,,
6,Yooka-Laylee,,
7,ZaciSa's Last Stand,,
8,Zen Pinball 2,,
9,Ogre Battle 64: Person of Lordly Caliber Available now,,
10,140,,
11,153 Hand Video Poker,,
12,3Souls,,
13,8Bit Hero,,
14,99Moves,,
15,99Seconds,,
16,A Day at the Carnival,,
17,A World of Keflings,,
18,Absolutely Unstoppable MineRun,,
19,ACE - Alien Cleanup Elite,,
20,Advance Wars: Dual Strike,,
21,Air Zonk,,
22,Alien Crush,,
23,Angry Birds Trilogy,,
24,Animal Gods,,
25,Annihilation,,
26,Aqua TV,,
27,Armored ACORNs: Action Squirrel Squad,,
28,Azure Snake,,
29,Back to Bed,,
30,Balloon Fight,,
31,Battle Chopper,,
32,BATTLE LODE RUNNER,,
33,Bayonetta,,
34,Bigley's Revenge,,
35,Blazing Lazers,,
36,Block Zombies!,,
37,Blok Drop X Twisted Fusion,,
38,Bomberman '93,,
39,BOMBERMAN '94,,
40,Bomberman 64,,
41,Bomberman Panic Bomber,,
42,BONK 3 Bonk's Big Adventure,,
43,Bonk's Revenge,,
44,BOX UP,,
45,Break in,,
46,BRICK RACE,,
47,Bridge Constructor Playground,,
48,Color Bombs,,
49,CRYSTORLD,,
0,Cubeshift,,
1,Cup Critters,,
2,Daikon Set,,
3,DETANA TWIN BEE,,
4,Devil's Crush,,
5,Digital Champ Battle Boxing,,
6,Discovery,,
7,Don't Crash,,
8,Double Dungeons,,
9,Dragon Quest X: All in One Package Ver.1-4,,
10,Draw a Stickman: EPIC 2,,
11,Drop It: Block Paradise,,
12,Dungeon Explorer,,
13,Dying is Dangerous,,
14,Earthlock: Festival of Magic,,
15,Eba & Egg: A Hatch Trip,,
16,EDGE,,
17,El Silla - Arcade Edition,,
18,Excitebots: Trick Racing,,
19,Exile's End,,
20,F-Zero X,,
21,Family Party: 30 Great Games Obstacle Arcade,,
22,Fat Dragons,,
23,FIFTEEN,,
24,Final Soldier,,
25,Flying Warriors,,
26,Freedom Planet,,
27,FreezeMe,,
28,Galaxy Blaster,,
29,Ghost Blade HD,,
30,Gradius,,
31,Gunman Clive HD Collection,,
32,Harvest Moon 64,,
33,HIVE JUMP,,
34,Horror Stories,,
35,I C REDD,,
36,IMAGEFIGHT,,
37,IMAGEFIGHT 2,,
38,Infinity Runner,,
39,Jeopardy!,,
40,Jolt Family Robot Racer,,
41,Jotun: Valhalla Edition,,
42,Koi DX,,
43,Kung-Fu Heroes,,
44,Legend of Hero Tonma,,
45,Little Inferno Read the review,,
46,Little Ninja Brothers,,
47,Lords Of Thunder,,
48,Lovely Planet,,
49,Mahjong Deluxe 3,,
0,Mario Kart 64,,
1,Mario Party 2,,
2,Mario vs Donkey Kong,,
3,Masked Forces,,
4,Maze,,
5,Maze Break,,
6,Meme Run,,
7,Metroid Prime Trilogy,,
8,Metroid: Other M,,
9,Miko Mole,,
10,MOP: Operation Cleanup,,
11,MOTOROADER,,
12,Mountain Peak Battle Mess,,
13,Mutant Alien Moles of the Dead,,
