,Names,Total_shipped,Total_sales
28,Jikkyou Powerful Pro Yakyuu Basic-han 2001,,0.16m
29,Space Invaders,,0.16m
30,Starcraft 64,,0.16m
31,The Powerpuff Girls: Chemical X-Traction,,0.16m
32,Tom and Jerry in Fists of Furry,,0.16m
33,Wonder Project J2: Koruro no Mori no Josette,,0.16m
34,Dark Rift,,0.15m
35,Derby Stallion 64,,0.15m
36,Doraemon 3: Nobi Dai no Machi SOS!,,0.15m
37,Space Station Silicon Valley,,0.15m
38,Bassmasters 2000,,0.14m
39,Bio FREAKS,,0.14m
40,Micro Machines 64 Turbo,,0.14m
41,WCW Backstage Assault,,0.14m
42,Castlevania: Legacy of Darkness,,0.13m
43,NBA Jam 2000,,0.13m
44,Sin and Punishment,,0.13m
45,Densha De Go! 64,,0.12m
46,Earthworm Jim 3D,,0.12m
47,NFL QB Club 2001,,0.12m
48,Rocket: Robot on Wheels,,0.12m
49,Chameleon Twist,,0.11m
0,Chopper Attack,,0.11m
1,Fighting Force 64,,0.11m
2,Nuclear Strike 64,,0.11m
3,Snowboard Kids 2,,0.11m
4,Tonic Trouble,,0.11m
5,Top Gear Rally 2,,0.11m
6,Vigilante 8: 2nd Offense,,0.11m
7,Aidyn Chronicles: The First Mage,,0.10m
8,Disney's Donald Duck: Goin' Quackers,,0.10m
9,Flying Dragon,,0.10m
10,GT64 Championship Edition,,0.10m
11,Indy Racing 2000,,0.10m
12,International Superstar Soccer 64 (weekly JP sales),,0.10m
13,Jeopardy!,,0.10m
14,Lode Runner 3-D,,0.10m
15,Milo's Astro Lanes,,0.10m
16,Virtual Pool 64,,0.10m
17,Batman Beyond: Return of the Joker,,0.09m
18,Golden Nugget 64,,0.09m
19,Robotron 64,,0.09m
20,Saikyou Habu Shogi,,0.09m
21,V-Rally Edition 99,,0.09m
22,Mahjong Master,,0.09m
23,Bust-A-Move 2 Arcade Edition,,0.08m
24,Iggy's Reckin' Balls,,0.08m
25,Knife Edge: NoseGunner,,0.08m
26,NHL Breakaway 99,,0.08m
27,Tony Hawk's Pro Skater 3,,0.08m
28,Wetrix,,0.08m
29,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,,0.07m
30,Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!,,0.07m
31,Aero Gauge,,0.07m
32,Battlezone: Rise of the Black Dogs,,0.07m
33,Mia Hamm Soccer 64,,0.07m
34,Shadowgate 64: Trials of the Four Towers,,0.07m
35,Super Robot Spirits,,0.07m
36,Neon Genesis Evangelion,,0.06m
37,Brunswick Circuit Pro Bowling,,0.06m
38,Bust-A-Move '99,,0.06m
39,CyberTiger,,0.06m
40,Mike Piazza's Strike Zone,,0.06m
41,Olympic Hockey 98,,0.06m
42,Penny Racers,,0.06m
43,Polaris SnoCross,,0.06m
44,S.C.A.R.S,,0.06m
45,Star Soldier: Vanishing Earth,,0.06m
46,Top Gear Hyper-Bike,,0.06m
47,Virtual Chess 64,,0.06m
48,NHL Blades of Steel '99,,0.05m
49,All Star Tennis 99,,0.05m
0,Blues Brothers 2000,,0.05m
1,Chameleon Twist 2,,0.05m
2,Dual Heroes,,0.05m
3,Fighter Destiny 2,,0.05m
4,Hercules: The Legendary Journeys,,0.05m
5,Turok: Dinosaur Hunter,,0.05m
6,Choro Q 64 2: Hacha Mecha Grand Prix Race,,0.05m
7,NBA In The Zone '99,,0.04m
8,NBA in the Zone 2000,,0.04m
9,Deadly Arts,,0.04m
10,Looney Tunes Duck Dodgers Starring: Daffy Duck,,0.04m
11,Monaco Grand Prix,,0.04m
12,PD Ultraman Battle Collection 64,,0.04m
13,Rally Challenge 2000,,0.04m
14,Worms Armageddon,,0.04m
15,Big Mountain 2000,,0.03m
16,Charlie Blasts Territory,,0.03m
17,Starshot: Space Circus Fever,,0.03m
18,Rat Attack!,,0.02m
19,Super Bowling,,0.02m
20,Carmageddon 64,,0.01m
21,PGA European Tour,,0.01m
22,64 Hanafuda: Tenshi no Yakusoku,,
23,64 Oozumou,,
24,64 Oozumou 2,,
25,64 Trump Collection: Alice no Waku Waku Trump World,,
26,AI Shogi 3,,
27,AirBoarder 64,,
28,Bakuretsu Muteki Bangai-O,,
29,Bakushou Jinsei 64: Mezase! Resort Ou,,
30,Bass Rush: EcoGear PowerWorm Championship,,
31,Bomberman 64 (Japan),,
32,Bust-A-Move '99,,
33,Centre Court Tennis,,
34,Chou-Kuukan Night Pro Yakyuu King 2,,
35,ClayFighter: Sculptor's Cut,,
36,Contra Spirits 64,,
37,Dance Dance Revolution Disney Dancing Museum,,
38,Deadly Arts,,
39,Dezaemon 3D,,
40,Doraemon 2: Nobita to Hikari no Shinden,,
41,Doraemon Nobita to 3 Tsu no Seirei Ishi,,
42,Eikou no Saint Andrews,,
43,F1 Racing Championship,,
44,F1 World Grand Prix II,,
45,Getter Love!! Chou Renai Party Game,,
46,Goemon: Mononoke Sugoroku,,
47,Hamster Monogatari 64,,
48,Harukanaru Augusta Masters '98,,
49,Heiwa Pachinko World 64,,
0,Ide Yosuke no Mahjong Juku,,
1,Indiana Jones and the Infernal Machine,,
2,International Track & Field 2000,,
3,J-League Tactics Soccer,,
4,Jangou Simulation Mahjong Michi 64,,
5,Jikkyou GI Stable,,
6,Jinsei Game 64,,
7,John Romero's Daikatana,,
8,Kiratto Kaiketsu! 64 Tanteidan,,
9,Last Legion UX,,
10,Looney Tunes: Taz Express,,
11,Mario no Photopi,,
12,Morita Shogi 64,,
13,NFL Blitz Special Edition,,
14,Nintama Rantarou 64 Game Gallery,,
15,Nushi Tsuri 64,,
16,Nushi Tsuri 64: Shiokaze Ni Notte,,
17,Onegai Monsters,,
18,Pachinko 365 Nichi,,
19,Parlor! Pro 64: Pachinko Jikki Simulation Game,,
20,Power League 64,,
21,Premier Manager 64,,
22,Pro Mahjong Kiwame 64,,
23,Pro Mahjong Tsuwamono 64: Jansou Battle ni Chousen,,
24,Puyo Puyo~n Party,,
25,Rakuga Kids,,
26,Razor Freestyle Scooter,,
27,Robot Ponkottsu 64: Nanatsu no Umi no Caramel,,
28,SD Hiryu no Ken Densetsu,,
29,Shin Nippon Pro Wrestling: Toukon Road - Brave Spirits,,
30,Shin Nippon Pro Wrestling: Toukon Road 2 - The Next Generation,,
31,SimCity 2000,,
32,Stunt Racer 64,,
33,Super B-Daman Battle Phoenix 64,,
34,Susume! Taisen Puzzle Dama: Toukon! Marumata Chou,,
35,Tetris 64,,
36,Transformers: Beast Wars Transmetals,,
37,Uchhannanchan no Honou no Challenge: Denryuu IraIra Bou,,
38,Virtual Pro Wrestling 2: Oudou Keishou,,
39,Virtual Pro Wrestling 64,,
40,Waialae Country Club: True Golf Classics,,
41,Yakouchuu II: Satsujin Kouru,,
42,Zool: Majou Tsukai Densetsu,,
