,Names,Total_shipped,Total_sales
37,Samurai Warriors Chronicles 2nd,,0.10m
38,Marvel Super Hero Squad: The Infinity Gauntlet,,0.10m
39,Generator Rex: Agent of Providence,,0.10m
40,Scribblenauts Unmasked: A DC Comics Adventure,,0.10m
41,Thor: God of Thunder,,0.10m
42,Cubic Ninja,,0.10m
43,Kuroko no Basuke: Miracles to Victory,,0.10m
44,Cartoon Network: Punch Time Explosion,,0.10m
45,Kuroko's Basketball: Ties to Future,,0.10m
46,Persona Q2: New Cinema Labyrinth,,0.10m
47,Shantae and the Pirate's Curse,,0.10m
48,PAC-MAN and the Ghostly Adventures,,0.10m
49,Disney Planes Fire & Rescue,,0.10m
0,Everyday House Tamagotchi,,0.09m
1,Inazuma Eleven 3: Lighting Bolt / Bomb Blast,,0.09m
2,Harvest Moon: Skytree Village,,0.09m
3,Carnival Games: Wild West 3D,,0.09m
4,Driver: Renegade,,0.09m
5,Beyblade Evolution,,0.09m
6,The Seven Deadly Sins: Unjust Sin,,0.09m
7,Cardfight!! Vanguard: Ride to Victory!!,,0.09m
8,Brain Age: Concentration Training,,0.09m
9,Ridge Racer 3D Read the review,0.09m,
10,Shin Megami Tensei: Devil Summoner: Soul Hackers Read the review,0.09m,
11,Beyblade Burst,,0.09m
12,Mahjong Cub3D,,0.09m
13,Aikatsu! My No.1 Stage!,,0.09m
14,Digimon World Re:Digitize Decode,,0.09m
15,Captain America: Super Soldier,,0.09m
16,Nikoli's Pencil Puzzle,,0.09m
17,Lost Heroes,,0.09m
18,Nano Assault Read the review,,0.08m
19,Face Racers: Photo Finish,,0.08m
20,Kamen Rider Travelers Record,,0.08m
21,Samurai Warriors Chronicles 3,,0.08m
22,Gundam the 3D Battle,,0.08m
23,Pretty Rhythm Rainbow Live: Kira Kira My * Design,,0.08m
24,Adventure Time: The Secret of the Nameless Kingdom,,0.08m
25,The Hidden,,0.08m
26,Pretty Rhythm: My Deco Rainbow Wedding,,0.08m
27,Puzzler Mind Gym 3D,,0.08m
28,Kenka Banchou 6: Soul & Blood,,0.08m
29,One Piece: Romance Dawn Read the review,,0.08m
30,Kobitodzukan: Kobito no Fushigi - Jikken Set,,0.08m
31,Pac-Man and the Ghostly Adventures 2,,0.08m
32,Doraemon: Nobita and the Island of Miracles,,0.08m
33,Medabots Dual: Kabuto / Kuwagata,,0.08m
34,Medabots 8,,0.08m
35,Future Card Buddyfight: Yuujou no Bakunetsu Fight!,,0.08m
36,Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,,0.08m
37,12-Sai. Koisuru Diary,,0.08m
38,Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,,0.08m
39,Lost Heroes 2,,0.08m
40,Mario vs. Donkey Kong: Tipping Stars,,0.08m
41,Hero Bank,,0.08m
42,Disney's Planes,,0.08m
43,Nicola Kanshuu: Model Oshare * Audition Platinum,,0.08m
44,Culdcept Revolt,,0.07m
45,Touch Detective: Nameko Shigeru,,0.07m
46,Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,,0.07m
47,Dream Trigger 3D,,0.07m
48,Model * Oshare Audition: Dream Girl,,0.07m
49,J Legend Retsuden,,0.07m
0,Haikyuu!! Tsunage! Itadaki no Keshiki!!,,0.07m
1,Petz Fantasy 3D,,0.07m
2,E.X. Troopers,,0.07m
3,Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,,0.07m
4,12-Sai. Honto no Kimochi,,0.07m
5,Magi: The Labyrinth of Beginning,,0.07m
6,Doraemon: Nobita no Uchuu Eiyuuki,,0.07m
7,Attack on Titan 2: Future Coordinates,,0.07m
8,Transformer: Rise of the Dark Spark,,0.07m
9,Cut the Rope: Triple Treat,,0.07m
10,Pro Yakyuu Spirits 2011,,0.07m
11,Cooking Mama: Sweet Shop,,0.07m
12,Doraemon: Nobita to Himitsu Dougu Hakubutsukan,,0.07m
13,Mobile Suit Gundam: Try Age SP,,0.07m
14,"Horrid Henry: The Good, The Bad and The Bugly",,0.07m
15,PriPara Mezameyo! Megami no Dress Design,,0.07m
16,Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo!,,0.07m
17,Penguins of Madagascar,,0.07m
18,Chou Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,,0.07m
19,Cardfight!! Vanguard: Lock On Victory!!,,0.07m
20,Phoenix Wright: Ace Attorney Trilogy,,0.07m
